CATS21,IMLSN1,HVSI11,ES_011(X),ES_011(Y),ES_011(X-VRN),ES_011(Y-VRN),ES_021(X),ES_021(Y),ES_021(X-VRN),ES_021(Y-VRN),ES_022(X),ES_022(Y),ES_022(X-VRN),ES_022(Y-VRN),EQ_021(X),EQ_021(Y),GS_T_1,ESP021,CHP021,Phase Meter-Freq,Phase Meter-Phase,DATE/TIME,TYPE_0,TYPE_1,CHARGE_STATE_0,CHARGE_STATE_1,INJ_VOLTAGE,SF6_pressure,TOTAL_UP_CHARGE,GVM,Energy
2.195360195,1.803418803,-160.976801,0.1583577713,-1.284457478,-0.004395604396,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4454212454,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.999,15-11-2021 10:40:17,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.7997558,-160.6837607,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4498168498,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.561,15-11-2021 10:40:21,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.798534799,-161.0744811,0.1583577713,-1.284457478,-0.005860805861,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4351648352,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.819,15-11-2021 10:40:26,1,0,6,9,-160,87.4,42,12.798,120
2.19047619,1.800976801,-161.0744811,0.1583577713,-1.284457478,-0.007326007326,-0.03223443223,0.4750733138,-0.1114369501,-0.2769230769,-0.4571428571,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.782,15-11-2021 10:40:30,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.800976801,-160.976801,0.1583577713,-1.284457478,-0.004395604396,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4380952381,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.964,15-11-2021 10:40:34,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.7997558,-160.976801,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2769230769,-0.4454212454,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.923,15-11-2021 10:40:38,1,0,6,9,-160,87.4,42,12.798,120
2.197802198,1.7997558,-161.0744811,0.1583577713,-1.284457478,-0.007326007326,-0.0336996337,0.4750733138,-0.1114369501,-0.2798534799,-0.4351648352,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.938,15-11-2021 10:40:42,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.7997558,-161.1721612,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2798534799,-0.443956044,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.756,15-11-2021 10:40:46,1,0,6,9,-160,87.4,42,12.798,120
2.2002442,1.802197802,-161.0744811,0.1583577713,-1.284457478,-0.004395604396,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4586080586,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.772,15-11-2021 10:40:50,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.800976801,-161.1721612,0.1583577713,-1.284457478,-0.005860805861,-0.03223443223,0.4750733138,-0.1114369501,-0.2798534799,-0.4424908425,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.793,15-11-2021 10:40:54,1,0,6,9,-160,87.4,42,12.798,120
